t,x,u
2.312302789591410557e-01,-1.818918465998402567e-01,8.074320913169389380e-01
2.586590914603790203e-01,-9.604706651069052636e-01,7.395895939289888477e-02
2.668504730709163608e-01,-4.099030444823694719e-01,8.261242897850855638e-01
2.868271887064475223e-01,-2.823070317113909322e-01,8.779889355989376476e-01
3.896707280921851702e-01,6.211962654199638667e-01,-4.938165586157617359e-01
1.119156949316059135e-01,6.117233383956957038e-01,-7.558195236355872426e-01
8.573197147186700784e-01,8.519022308650854303e-01,-1.421840696454158004e-01
1.373664394037612535e-01,7.989775541676775727e-01,-4.193147514708902568e-01
5.263460569572327996e-01,-2.146998640065016506e-01,8.375686419142264194e-01
7.890687247304843943e-01,9.989609686892348961e-01,2.183245950629888934e-03
6.201508015754882974e-01,-7.189483973098087510e-01,3.124509005828098873e-01
1.120243198877227675e-01,-2.062635827980778824e-01,7.228191364920854012e-01
8.729993710773321647e-01,-8.568031433426595012e-01,8.266939920142091225e-02
1.569143822850463943e-01,3.103376654061131834e-01,-8.702764530755819905e-01
2.690087891248773566e-01,-9.155023029671756074e-01,1.486742871248361575e-01
3.539294770474091800e-01,-8.201448011524590243e-01,2.619158641785503394e-01
5.710815214068659662e-01,-1.940448284669860080e-01,8.316183867825504006e-01
6.022253388922355066e-01,-7.307278537779253735e-01,2.663953795442250971e-01
9.195171168575241305e-01,6.834910623729408830e-01,-2.450840116389878531e-01
8.475855835534150673e-01,-7.079831404425134256e-01,2.604197179128879824e-01
4.890649193739583511e-01,1.765631926560096154e-01,-8.932707428669385274e-01
2.737766023911547553e-02,6.299146658097731777e-01,-8.490578880531173267e-01
4.554751912806029868e-01,3.888077769817661622e-01,-7.207497968115396114e-01
9.339059229660681138e-01,2.815987326826319137e-01,-5.685180538383775017e-01
8.638594535768275851e-01,-5.173992738551491666e-01,3.983204198257477291e-01
7.863378020483260400e-01,-1.995115091689643183e-01,6.810415845703374771e-01
7.643885890158118590e-01,6.518367057186413849e-01,-3.153304735717061269e-01
4.660500770434305995e-01,4.195188534115845691e-02,-8.273529435460157400e-01
9.591011643263391839e-01,-5.832763376484111362e-01,3.374701229561388738e-01
8.852240685617654981e-01,7.902780182256758934e-01,-1.887461803347769695e-01
6.707841399247982395e-02,8.548307607881961978e-01,-3.377573742168887838e-01
4.401178125326365986e-01,6.540359849532946246e-01,-4.428265490471126609e-01
6.697705039216041989e-01,-5.333838803844175303e-01,4.779440613733207388e-01
9.641708510282338551e-01,7.720537882676274943e-01,-1.822849787735127680e-01
6.706091768968565070e-01,-5.852148109964470102e-01,4.208082591824087726e-01
3.514420858531670522e-01,-1.633019196804905704e-01,8.756375173907240406e-01
8.088944449815177462e-01,4.350936757006023115e-01,-4.739266564845361351e-01
6.081035708419627595e-01,4.476682538454488380e-01,-5.706139329769852608e-01
9.452625326376146164e-01,-5.906771954669789437e-01,3.097718818938510754e-01
9.104020191601371881e-01,-3.976302676884861942e-01,4.531109298382683948e-01
3.752208613252627778e-02,-7.322893736184277191e-01,6.518421567304406583e-01
9.778838740725314116e-01,8.450454460764817988e-01,-9.788464088601739332e-02
3.652613330068227304e-01,-8.934551525883860368e-01,1.512166203631769568e-01
4.536436465779836169e-03,2.133477211674819074e-01,-5.932765060135511970e-01
4.965913984320570185e-01,-6.280947722737568739e-01,4.370819260258053118e-01
1.300240844842037724e-02,1.128505757960920342e-01,-4.362864640520622839e-01
5.572340734202095858e-01,-5.964666626489241175e-01,4.322672568481989441e-01
